Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.ra.json	14263	-	0	0	0	0	0	0	14	105	0	0	0	0	0	0	0	1	0	0	114	94	0	0	0	5	0	1
fsh-generated/resources/ActorDefinition-ClientRegistry.json	842	9	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	31	67	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-FacilityRegistry.json	448	7	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	25	30	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthManagementInformationSystem.json	488	8	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	21	23	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-HealthWorkerRegistry.json	887	7	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	20	41	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-InteroperabilityLayer.json	931	7	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	22	90	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-LogisticsManagementInformationSystem.json	507	7	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	36	48	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-PointOfServiceSystem.json	472	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	21	32	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SharedHealthRecord.json	458	7	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	28	25	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TerminologyService.json	463	8	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	24	34	0	0	0	1	0	1
